product_id,product_title,image,price
B00PATJU8Y,TRESemmÃ© PERFECTLY (UN)DONE Hair Spray 7.7 oz,images/p1.jpg,$6.99 
B00HDZGF4K,"Joy & Karma Topical Vitamin C Anti Aging Serum for Face with Hyaluronic Acid, 1 fl oz",images/p10.jpg,$15.99 
B004QM0OJ0,TheraBreath Dry Mouth Lozenges,images/p47.jpg,$9.99 
B000NL0T1G,"Merkur Futur MK 23C Long-Handled Traditional Double Edge Safety Razor - Excellent Comfort, Control, and Design - 4.2 Inches, Chrome Finish",images/p55.jpg,$39.99 
B004VM9JCS,"Burt's Bees Eye Cream for Sensitive Skin, 0.5 Ounces",images/p15.jpg,$14.99 
B004OHQR1Q,"Dotting 5 X 2 Way Marbleizing Dotting Pen Set for Nail Art Manicure Pedicure, 4 Ounce",images/p34.jpg,$9.99 
B006MWL2ZM,Goddess Remi Human Hair Weave Bump - Trio 2 4 6,images/p81.jpg,$7.55 
B00EMJMEFY,6packs Eyelashes - 747S by Christina,images/p82.jpg,$11.79 
B00DSYFYRE,Dr Song Benzoyl Peroxide 10% Acne Cream Gel Treatment Lotion up to 8oz,images/p16.jpg,$12.99 
B00NL2AOPU,Philips Sonicare Powerup Battery Toothbrush,images/p48.jpg,$19.99 
B004J2P6D6,E.L.F Powder Puffs,images/p38.jpg,$3.99 
B00461F4PA,"Baby Foot Exfoliant Foot Peel, Lavender Scented, 2.4 Fl. Oz.",images/p70.jpg,$25.00 
B007ZN5ATQ,Philips Sonicare Essence Rechargeable Electric Toothbrush,images/p49.jpg,$34.99 
B001BKR5X8,India Temple Incense - Song of India - 120 Stick Large Box,images/p71.jpg,$12.99 
B00B76ALVO,"HSI Professional Glider | Ceramic Tourmaline Ionic Flat Iron Hair Straightener | Straightens & Curls with Adjustable Temp | Incl Glove, Pouch, & Travel Size Argan Oil Hair Treatment | Packaging Varies",images/p59.jpg,$59.99 
B009ESL1SY,Skulls and Roses Ed Hardy Eau De Parfums for Women,images/p40.jpg,$29.99 
B00YMMENPK,Rose Water,images/p72.jpg,$8.99 
B00TR6HX76,"Cynergy Health Science Organic Vitamin C Serum - 20% Vitamin C Serum plus Vegan Hyaluronic Acid with Aloe for Reducing Sun Spots, Age Spots, Anti-Aging and Anti-Wrinkle Skin",images/p11.jpg,$24.95 
B004FAWBTO,Carolina Herrera 3.4 fl oz Eau De Toilette Spray for Men,images/p41.jpg,$59.99 
B00KCFAZTE,"InstaNatural Eye Gel Cream - Wrinkle, Dark Circle, Fine Line & Redness Reducer - Pure & Organic Anti Aging Blend for Men & Women with Hyaluronic Acid - Fight Bags & Lift Skin Under Eyes â€“ 50mlâ€¦",images/p14.jpg,$16.99 
B00112TIIQ,"Clubman Superhold Styling Gel, 16 oz",images/p3.jpg,$7.49 
B00W47D9K0,L.A. Girl Matte Flat Finish Pigment Gloss,images/p28.jpg,$5.99 
B0016J22EQ,"Alba Botanica Sunless Tanning Lotion, 4 Ounce",images/p18.jpg,$9.99 
B002HWS7RM,"Diane D722 Color, Perm And Conditioner Processing Caps - 100-Pack - Clear",images/p83.jpg,$5.65 
B00SM99KWU,Biore UV Aqua Rich Watery Essence SPF50+/PA++++ (pack of 2),images/p23.jpg,$14.99 
B000NYL1Z6,Murad Clarifying Cleanser,images/p17.jpg,$24.00 
B001SYWTFG,CoverGirl Queen Collection Perfect Point Plus Eyeliner Black Onyx 200,images/p29.jpg,$6.49 
B005F2EVMQ,"Bifesta Mandom Eye Makeup Remover, 145ml",images/p84.jpg,$23.38 
B00M1SUW7K,"Can You Handlebar All-Natural Secondary Moustache Wax : Extra Strength, Firm Hold",images/p85.jpg,$9.99 
B001KYQA1S,"Maybelline Great Lash Washable Mascara, Clear [110], 1 ea",images/p30.jpg,$4.99 
B00SAQ9DZY,"12 New, High Quality, Amber 2 ml (5/8 Dram) Glass Bottles, with Orifice Reducer and Black Cap.",images/p66.jpg,$8.99 
B00HFQQ0VU,Waterpik Aquarius Water Flosser,images/p51.jpg,$69.99 
B00PYL8MAA,"Proganix Agave Nectar Plus Silica Curling Cream Plus Defrizzant, 6 Ounce",images/p2.jpg,$12.99 
B00D9NV2D4,Shea Butter,images/p73.jpg,$9.99 
B008Y9M412,Etude House Fresh Cherry Tint # 02 RD301,images/p32.jpg,$8.50 
B00FWXBLHG,Vintage Lil' Sponge Holder,images/p69.jpg,$6.99 
B003KL8CB0,Jenna Jameson Heartbreaker Perfume parent,images/p45.jpg,$22.99 
B00SMIIR0W,Schick Hydro Silk TrimStyle Moisturizing Razor,images/p54.jpg,$12.99 
B003UKKH6O,Oral-B Vitality Prowhite Rechargeable Electric Toothbrush 1 Count,images/p50.jpg,$39.99 
B00JIMSQ5W,ECBASKET 500 PCS Stiletto False Nails Short Acrylic Nail Tips 10 sizes Full Coverage Fake Nails(Natural),images/p36.jpg,$9.99 
B00O09E33C,"Clogged Pores Natural Cleansing Kit - Vegan Cleanser Face Wash Soap 3.4 oz and Facial Cream 1.7 oz Care - Shea, Olive, Jojoba, Tea Tree & Almond Oils Blend Set",images/p22.jpg,$24.95 
B00JNH8Z6W,Estee Lauder Pleasures Flower Eau De Parfum Spray 75ml/2.5oz,images/p42.jpg,$65.00 
B00KA5R3KU,"Jerdon J1015 LED Lighted Makeup Mirror with 5x Magnification, White Finish",images/p63.jpg,$39.99 
B002WTCK50,DenTek Temparin One Step Max Hold 2.64 gram,images/p53.jpg,$5.99 
B00KYUXIOG,YEOUTH Best Anti Aging Vitamin C Serum with Hyaluronic Acid & Tripeptide 31 Trumps ALL Others. 100% Guaranteed,images/p12.jpg,$19.95 
B007S69QAY,Conair Xtreme Instant Heat Jumbo And Super Jumbo Hot Rollers,images/p60.jpg,$34.99 
B00PKIE760,"InstaNatural Cellulite Cream - With Caffeine and Retinol - Firming Lotion and Dimple Remover for Legs, Arms, Stomach, Buttocks and More - No Wrap Needed - With Jojoba Oil and Vitamin E - 4 OZ",images/p86.jpg,$15.85 
B00B3CUA0E,"Premium Quality 20 New Diamond Series Sqaure Empty Clear Plastic Cosmetic Containers 5 Gram Size Pot Jars Eyshadow Container Lot Size: Diameter: 1 1/2"" x 1 1/2"" (Comes With 1 Free Myo Eyeshadow Sample)",images/p65.jpg,$12.99 
B000NZAIC2,Dudu-Osun African Black Soap 150g (6 pack),images/p25.jpg,$18.99 
B005CK3GIQ,"System 2 Noticeably Thinning For Fine Hair Kit Nioxin 10.1oz Cleanser, 5.07oz Scalp Therapy, 3.38oz Scalp Treatment Unisex 3 Pc Kit",images/p6.jpg,$39.99 
B000J3ZMQA,Nubian Heritage Coconut & Papaya Soap,images/p26.jpg,$4.99 
B001HTB6PG,"Australian Gold SPF 50 Kids Lotion, 8 Ounce",images/p87.jpg,$11.49 
B001ADSPT4,Palladio Rice Powder,images/p37.jpg,$9.99 
B001ET77H0,"Brut Deodorant, Round Solid, 2.5 Ounces (Pack of 6)",images/p78.jpg,$18.99 
B00C2GNK02,EyeBuyExpress Rectangle Black Reading Glasses Half Rim Spring Hinges,images/p88.jpg,$20.99 
B00W2U437W,"XTAVA Define Lashes Volumizing Waterproof Mascara (Black) - Long-wear Formula with Easy-On Easy-Off Technology (TM) - Fiber Thickening & Lash Lengthening Voluminous Mascara - Smudge, Clump and Flake Resistant - Cruelty Free",images/p31.jpg,$12.99 
B00YQK1LVC,Premium Makeup Sponge Blender Duo â€“ Black and Pink Egg Shaped Colorful Cosmetic Appliator set - Use This Ecotools for Blending Wet or Powder Foundation and Concealer - Get the Quality for Less Price!,images/p39.jpg,$6.99 
B000FRWNL2,Revlon Perfect Heat Jumbo 3 Barrel Waver,images/p61.jpg,$29.99 
B00BEEK5II,Elemis Pro-Collagen Marine Cream - 1.7 fl. oz.,images/p19.jpg,$79.00 
B00FBO8FCA,Mederma Advanced Scar Gel (50 g),images/p20.jpg,$19.97 
B009MLSJ38,"Swissco Suction Cup Mirror 12x Magnification, 5 inches",images/p64.jpg,$14.99 
B002JPJ2ZS,Viviscal Extra Strength Hair Nutrient Tablets,images/p89.jpg,$41.49 
B001AT00MI,"Clubman Club Mend, 4 Fluid Ounce",images/p4.jpg,$8.99 
B00XWRPLMK,Grand Parfums Empty 2ml Amber Glass Micro Mini Rollon Dram Glass Bottles with Metal Roller Balls - Refillable Aromatherapy Essential Oil Roll On - Bulk - 1/2 Dram Pack of 6 -,images/p67.jpg,$9.99 
B010FHRA4G,"Antifungal Soap with Tea Tree Oil & Neem 12oz. Helps Wash Away Athletes Foot, Body Odor, Acne, Jock Itch, Nail Fungus, Ringworm. Foot & Body Wash. 100% Natural Care & Defense Against Skin Irritation",images/p27.jpg,$12.95 
B00THEGVCG,"Super 6 Serum- w Vitamin C 22% + Hyaluronic Acid + 2.5% Retinol + CoQ10 for 6X Anti-Aging Benefits w Best Natural Astaxanthin & Niacinamide to Fight Wrinkles, Fine Lines, Acne & Spotsâ€¦",images/p13.jpg,$29.99 
B00TPEKNZY,EM-3513W Sleep Mask,images/p79.jpg,$7.99 
B00ZQDKDIU,Artnaturals Tea Tree Essential Oil,images/p74.jpg,$9.99 
B004E9ERPM,"Andrea Eye Q's Ultra Quick Eye Makeup Remover Pads, 65-Count (Pack of 3)",images/p90.jpg,$21.59 
B0126XBPS4,Crest Pro-Health Advanced Mouthwash with Extra Deep Clean,images/p52.jpg,$7.99 
B00H9A40R8,Old Spice Men's Shaver,images/p56.jpg,$8.99 
B00VXHY6KY,"Majestic Pure Essential Oil, 100% Pure and Natural with Therapeutic Grade, Premium Quality Oil 4fl",images/p75.jpg,$12.99 
B00VSN7CEU,Kenz Laurenz Â® Cotton Headbands 12 Pack (Available in LOTS of COLORS) - Soft and Stretchy Elastic Yoga Fashion Headband for Teens Women Girls Softball Volleyball Soccer Basketball Dance Cheer Pack Sports Teams Stretch Head Band Set Hair Wrap Accessories Wholesale by Kenz Laurenz,images/p76.jpg,$14.99 
B0030GSEWC,"Dove Men+Care Body and Face Bar, Extra Fresh 4 oz, 10 Bar",images/p77.jpg,$15.99 
B004SE9J1K,"Its a 10 it&#39s a 10 Miracle Leave-in Plus Keratin, (4.0 oz)",images/p8.jpg,$20.00 
B004C0NVUA,L'Oreal Paris Excellence CrÃ¨me with Pro-Keratine Complex,images/p9.jpg,$10.99 
B00UQNM2SE,"Olay Smooth Finish Facial Hair Removal Duo - Medium To Coarse Hair, Pack of 2 Box.",images/p58.jpg,$19.99 
B00L0R5494,"Maybelline New York The Nudes Eye Shadow Palette, 0.34 oz.",images/p91.jpg,$18.00 
B00XK1AH68,AuraLux Skin Snake Venom Peptide Cream 5% SYN-AKE 1.0 fl. oz/30mL,images/p21.jpg,$29.95 
B0019QXQGO,"Orly Nail Lacquer, 06 Fluid Ounce",images/p35.jpg,$8.50 
B00LCMH2VK,Greenwich Bay CUCUMBER OLIVE OIL Shea Butter Hand & Body Lotion Enriched with Cocoa Butter 16 oz,images/p92.jpg,$11.70 
B004UZLOBA,"Paris Woman Perfume, impression of Paris Hilton for Women",images/p43.jpg,$19.99 
B000094ZDX,Conair Folding Dryer,images/p62.jpg,$24.99 
B007G4TVI0,OPTP Original McKenzie Cervical Roll - (703) Pillow for spine and neck support during sleep,images/p80.jpg,$19.99 
B0062OF5L2,David Beckham Homme Cologne By David Beckham For Men,images/p44.jpg,$24.99 
B00B1RPQ14,Unite Smoothing Shampoo & Condition 10oz 300ml Duo Set,images/p7.jpg,$45.00 
B00IMPUTGU,"Sweet Almond Oil for Skin, Hair and Face - Large 16oz - WITH PUMP + FREE Recipe eBook! - All Natural Sensual Massage Oil - Use with Essential Oils and Aromatherapy as a Carrier and Base oil",images/p24.jpg,$12.99 
B00KP5TS4Y,"#1 Blackhead & Blemish Remover Kit - Equinox Acne Treatment - 5 Professional Surgical Extractor Instruments - Easily Cure Pimples, Blackheads, Comedones, Acne, and Facial Impurities",images/p68.jpg,$14.99 
B001ET76OO,"UltraSwim Chlorine Removal Shampoo, 7 fl oz (207 ml)",images/p93.jpg,$16.01 
B00BOJD17U,Hoyts Original Cologne 1868,images/p46.jpg,$15.99 
B00F0BK2BQ,Mens Durable Shave Soap Cup Shinning Stainless Steel Shaving Mug Bowl,images/p57.jpg,$12.99 
B00IUHQ90U,"Deva Curl Light Defining Gel, 32 oz",images/p5.jpg,$28.00 
B000VEPHYY,Ardell Brow Sculpting Gel - Clear 7.3ml/0.25oz,images/p33.jpg,$5.99 
